"","phylum","gene","description"
"619","firmicutes","FIG00512747","FIG00512748: hypothetical protein"
"620","firmicutes","FIG00512748","FIG00512749: hypothetical protein"
"621","firmicutes","FIG01427962","Extracellular ribonuclease precursor (EC 3.1.-.-)"
"622","firmicutes","FIG00515835","FIG00515836: hypothetical protein"
"623","firmicutes","FIG01219975","Probable lipoprotein"
"624","firmicutes","FIG00521903","FIG00521912: hypothetical protein"
"625","firmicutes","FIG00524148","FIG00524150: hypothetical protein"
"626","firmicutes","FIG01444476","putative poly A polymerase"
"627","firmicutes","FIG00525408","FIG00525409: hypothetical protein"
"628","firmicutes","FIG00087157","Urea ABC transporter, urea binding protein"
"629","firmicutes","FIG01314148","Transcriptional regulator, MarR family / Aspartate N-acetyltransferase (EC 2.3.1.17)"
"630","firmicutes","FIG00000426","Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY"
"631","firmicutes","FIG01246344","FIG01246348: hypothetical protein"
"632","firmicutes","FIG00017343","Flagellar M-ring protein FliF"
"633","firmicutes","FIG00008841","L-Cystine ABC transporter, permease protein TcyM"
"634","firmicutes","FIG00713865","Sporulation-specific protease YabG"
"635","firmicutes","FIG00436066","beta-lactamase"
"636","firmicutes","FIG00853109","periplasmic sensor signal transduction histidine kinase"
"637","firmicutes","FIG00530072","FIG00530073: hypothetical protein"
"638","firmicutes","FIG00528127","FIG00528132: hypothetical protein"
"639","firmicutes","FIG00521897","FIG00521899: hypothetical protein"
"640","firmicutes","FIG01287703","flagellar protein FlaG protein"
"641","firmicutes","FIG00525669","FIG00525670: hypothetical protein"
"642","firmicutes","FIG00520015","FIG00520016: hypothetical protein"
"643","firmicutes","FIG00001056","Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-)"
"644","firmicutes","FIG00515936","FIG00515937: hypothetical protein"
"645","firmicutes","FIG00003542","Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)"
"646","firmicutes","FIG01323705","Metal-dependent phosphohydrolase, HD subdomain"
"647","firmicutes","FIG01306512","ATP-dependent protease La (EC 3.4.21.53) LonB Type I"
"648","firmicutes","FIG00515587","Cell division topological determinant MinJ"
"649","firmicutes","FIG00516317","FIG00516318: hypothetical protein"
"650","firmicutes","FIG00052739","Iron compound ABC uptake transporter permease protein PiaB"
"651","firmicutes","FIG00526340","Re face-specific citrate synthase (EC 2.3.3.3)"
"652","firmicutes","FIG00526839","FIG00526843: hypothetical protein"
"653","firmicutes","FIG00004080","Stage II sporulation serine phosphatase for sigma-F activation (SpoIIE)"
"654","firmicutes","FIG01477816","Propeptide, PepSY amd peptidase M4"
"655","firmicutes","FIG01407672","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-); possible Histidinol-phosphatase (EC 3.1.3.15)"
"656","firmicutes","FIG01724459","FIG01240914: hypothetical protein"
"657","firmicutes","FIG00532805","FIG00532806: hypothetical protein"
"658","firmicutes","FIG00516262","two component transcriptional regulator, AraC family"
"659","firmicutes","FIG00524673","FIG00524683: hypothetical protein"
"660","firmicutes","FIG01411905","erythromycin biosynthesis sensory transduction protein eryC1"
"661","firmicutes","FIG00525236","Rhodanese-like domain"
"662","firmicutes","FIG00529503","FIG00529508: hypothetical protein"
"663","firmicutes","FIG00512951","FIG00512952: hypothetical protein"
"664","firmicutes","FIG00513339","FIG00513340: hypothetical protein"
"665","firmicutes","FIG00076487","Siderophore biosynthesis L-2,4-diaminobutyrate decarboxylase"
"666","firmicutes","FIG00133479","Flagellar basal-body rod protein FlgB"
"667","firmicutes","FIG00000677","Uracil phosphoribosyltransferase (EC 2.4.2.9) / Pyrimidine operon regulatory protein PyrR"
"668","firmicutes","FIG00012128","polyhydroxyalkanoate synthesis repressor PhaR"
"669","firmicutes","FIG00007959","FIG007959: peptidase, M16 family"
"670","firmicutes","FIG01956083","Tetracycline resistance protein TetQ"
"671","firmicutes","FIG00520868","FIG00520871: hypothetical protein"
"672","firmicutes","FIG00593918","NADH ubiquinone oxidoreductase, 20 kDa subunit"
"673","firmicutes","FIG00519186","FIG00519187: hypothetical protein"
"674","firmicutes","FIG00035092","2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)"
"675","firmicutes","FIG01232028","FIG01232032: hypothetical protein"
"676","firmicutes","FIG00514440","FIG00514444: hypothetical protein"
"677","firmicutes","FIG01250529","Gas vesicle protein gvpS"
"678","firmicutes","FIG00526151","FIG00526156: hypothetical protein"
"679","firmicutes","FIG01312104","Contains cell adhesion domain"
"680","firmicutes","FIG01317167","hydrolase, alpha/beta fold family"
"681","firmicutes","FIG01432580","hsp20/alpha crystallin family protein"
"682","firmicutes","FIG01954797","Methyl-accepting chemotaxis protein"
"683","firmicutes","FIG01470945","rubrerythrin family protein"
"684","firmicutes","FIG00022146","Urea carboxylase-related aminomethyltransferase (EC 2.1.2.10)"
"685","firmicutes","FIG01345757","oxidoreductase, short chain dehydrogenase/reductase family"
"686","firmicutes","FIG00522070","FIG00522075: hypothetical protein"
"687","firmicutes","FIG00654241","FIG01121394: hypothetical protein"
"688","firmicutes","FIG00004562","Selenoprotein O and cysteine-containing homologs"
"689","firmicutes","FIG00905474","putative secreted protein"
"690","firmicutes","FIG00002947","Chemotaxis protein CheC -- inhibitor of MCP methylation"
"691","firmicutes","FIG01395846","putative NADH dehydrogenase/NAD(P)H nitroreductase"
"692","firmicutes","FIG01875172","FIG01226034: hypothetical protein"
"693","firmicutes","FIG00001629","Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site"
"694","firmicutes","FIG01232526","cysteine protease"
"695","firmicutes","FIG00001080","Membrane fusion component of tripartite multidrug resistance system"
"696","firmicutes","FIG00008370","Creatinine amidohydrolase (EC 3.5.2.10)"
"697","firmicutes","FIG00526104","FIG00526112: hypothetical protein"
"698","firmicutes","FIG01372031","putative phosphatidylinositol-4-phosphate 5-kinase"
"699","firmicutes","FIG01892712","lantibiotic mersacidin modifying enzyme"
"700","firmicutes","FIG01304860","[Ni/Fe] hydrogenase, group 1, small subunit"
"701","firmicutes","FIG00040173","Urea carboxylase-related ABC transporter, permease protein"
"702","firmicutes","FIG01437962","uncharacterized low-complexity protein"
"703","firmicutes","FIG00003207","Hydrogenase-4 component F"
"704","firmicutes","FIG00533604","FIG00533605: hypothetical protein"
"705","firmicutes","FIG00014760","Dimeric dUTPase (EC 3.6.1.23)"
"706","firmicutes","FIG00779262","FIG01122965: hypothetical protein"
"707","firmicutes","FIG01427994","Acyl-CoA reductase LuxC"
"708","firmicutes","FIG01372238","3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.41)"
"709","firmicutes","FIG01397896","Modification methylase bstVI (EC 2.1.1.72)"
"710","firmicutes","FIG01227594","Thioesterase"
"711","firmicutes","FIG00521213","FIG00521217: hypothetical protein"
"712","firmicutes","FIG00945183","acetyltransferase"
"713","firmicutes","FIG01386680","toxin secretion ABC transporter, ATP-binding/permease protein"
"714","firmicutes","FIG00514200","FIG00514202: hypothetical protein"
"715","firmicutes","FIG00517720","FIG00517722: hypothetical protein"
"716","firmicutes","FIG00519040","FIG00519041: hypothetical protein"
"717","firmicutes","FIG00514274","FIG00514275: hypothetical protein"
"718","firmicutes","FIG00031762","Polygalacturonase (EC 3.2.1.15)"
"719","firmicutes","FIG00481866","Response regulator"
"720","firmicutes","FIG01371170","Methyl-accepting chemotaxis-like protein (chemotaxis sensory transducer)"
"721","firmicutes","FIG00229246","Allophanate hydrolase (EC 3.5.1.54)"
"722","firmicutes","FIG00229247","Urea carboxylase (EC 6.3.4.6)"
"723","firmicutes","FIG00517764","FIG00517765: hypothetical protein"
"724","firmicutes","FIG01304708","Phosphoglycerate kinase (EC 2.7.2.3) / Triosephosphate isomerase (EC 5.3.1.1)"
"725","firmicutes","FIG01320366",NA
"726","firmicutes","FIG01955945","Flagellum-specific ATP synthase FliI"
"727","firmicutes","FIG00522623","FIG00522624: hypothetical protein"
"728","firmicutes","FIG01238956","Phage related protein, YorS B.subtilis homolog"
"729","firmicutes","FIG01425168","Amidase related to nicotinamidase"
"730","actinobacteria","FIG00003757","L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)"
"731","actinobacteria","FIG00002156","NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)"
"732","actinobacteria","FIG01123754","FIG01123755: hypothetical protein"
"733","actinobacteria","FIG00016334","Formiminoglutamic iminohydrolase (EC 3.5.3.13)"
"734","actinobacteria","FIG00071345","Beta-carotene ketolase (EC 1.14.-.-)"
"735","actinobacteria","FIG01333696","FIG01044654: hypothetical protein"
"736","actinobacteria","FIG00012387","Probable carboxyvinyl-carboxyphosphonate phosphorylmutase (EC 2.7.8.23)"
"737","actinobacteria","FIG00814407","FIG00814408: hypothetical protein"
"738","actinobacteria","FIG00815753","FIG00815754: hypothetical protein"
"739","actinobacteria","FIG00815758","FIG00815760: hypothetical protein"
"740","actinobacteria","FIG01499448","possible serine protease, C-terminal"
"741","actinobacteria","FIG01371240","protein of unknown function DUF1330"
"742","actinobacteria","FIG01312274",NA
"743","actinobacteria","FIG01124507","FIG01124508: hypothetical protein"
"744","actinobacteria","FIG01043488","FIG01043490: hypothetical protein"
"745","actinobacteria","FIG00945107","LacI-family transcriptional regulator"
"746","actinobacteria","FIG01341281","putative RNA polymerase ECF-subfamily sigma factor"
"747","actinobacteria","FIG00524077","Nitrilase (EC 3.5.5.1)"
"748","actinobacteria","FIG00020309","Extracellular ribonuclease Bsn"
"749","actinobacteria","FIG00146436","Amino acid/metabolite permease in hypothetical Actinobacterial gene cluster; BAT1-like"
"750","actinobacteria","FIG00816262","FIG00816263: hypothetical protein"
"751","actinobacteria","FIG00511767","putative transcriptional regulator, LacI family"
"752","actinobacteria","FIG01130639","FIG01130641: hypothetical protein"
"753","actinobacteria","FIG00764564","hydrolase"
"754","actinobacteria","FIG01304252","Putrescine transport system permease protein PotI (TC 3.A.1.11.2)"
"755","actinobacteria","FIG00047336","L-beta-lysine 5,6-aminomutase beta subunit (EC 5.4.3.3)"
"756","actinobacteria","FIG01657652","MFS transporter, DHA1 family"
"757","actinobacteria","FIG01956044","binding-protein-dependent transport systems inner membrane component"
"758","actinobacteria","FIG01121374","FIG01121375: hypothetical protein"
"759","actinobacteria","FIG00816321","ROK  family protein"
"760","actinobacteria","FIG01135971","FIG01135974: hypothetical protein"
"761","actinobacteria","FIG01355697","Ankyrin repeat protein"
"762","actinobacteria","FIG01131901","FIG01131902: hypothetical protein"
"763","actinobacteria","FIG00816094","FIG00816095: hypothetical protein"
"764","actinobacteria","FIG00007031","2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)"
"765","actinobacteria","FIG00007966","YgfD: protein that forms a complex with the methylmalonyl-CoA mutase in a pathway for conversion of succinyl-CoA to propionyl-CoA"
"766","actinobacteria","FIG00815034","FIG00815037: hypothetical protein"
"767","actinobacteria","FIG01889077","FIG01135854: hypothetical protein"
"768","actinobacteria","FIG00001524","Kynurenine formamidase, bacterial (EC 3.5.1.9)"
"769","actinobacteria","FIG00015381","Transmembrane component CbrV of energizing module of predicted cobalamin ECF transporter"
"770","actinobacteria","FIG00814805","FIG00814808: hypothetical protein"
"771","actinobacteria","FIG00031150","Alpha-glucoside transport system permease protein AglG"
"772","actinobacteria","FIG00010600","Xaa-Pro aminopeptidase (EC 3.4.11.9)"
"773","actinobacteria","FIG00097886","Neopullulanase (EC 3.2.1.135) / Maltodextrin glucosidase (EC 3.2.1.20)"
"774","actinobacteria","FIG00145554","Proteasome subunit beta (EC 3.4.25.1), bacterial"
"775","actinobacteria","FIG01121991","sugar uptake ABC transporter sugar-binding protein"
"776","actinobacteria","FIG01063097",NA
"777","actinobacteria","FIG01123272","FIG01123273: hypothetical protein"
"778","actinobacteria","FIG01125691","FIG01125692: hypothetical protein"
"779","actinobacteria","FIG01125694","FIG01125695: hypothetical protein"
"780","actinobacteria","FIG01042841","FIG01042843: hypothetical protein"
"781","actinobacteria","FIG00739381","Zinc-containing alcohol dehydrogenase superfamily"
"782","actinobacteria","FIG00020817","TesB-like acyl-CoA thioesterase 3"
"783","actinobacteria","FIG00672180","putative dipeptidase"
"784","actinobacteria","FIG00816356","Probable RNA polymerase sigma-C factor"
"785","actinobacteria","FIG00664812","Lipid carrier protein or keto acyl-CoA thiolase Ltp3 (EC 2.3.1.16)"
"786","actinobacteria","FIG00016888","rhamnogalacturonan acetylesterase"
"787","actinobacteria","FIG00089781","Possible alpha-xyloside ABC transporter, permease component"
"788","actinobacteria","FIG00000308","3'-to-5' exoribonuclease RNase R"
"789","actinobacteria","FIG00553873","FIG00553873: hypothetical protein"
"790","actinobacteria","FIG01123652","glycine-rich secreted protein"
"791","actinobacteria","FIG01334071","glucokinase( EC:2.7.1.2 )"
"792","actinobacteria","FIG00000847","Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)"
"793","actinobacteria","FIG00816834","FIG00816837: hypothetical protein"
"794","actinobacteria","FIG01105913","AMIDASE"
"795","actinobacteria","FIG00816785","FIG00816786: hypothetical protein"
"796","actinobacteria","FIG01744266","FIG01128805: hypothetical protein"
"797","actinobacteria","FIG00817493","FIG00817494: hypothetical protein"
"798","actinobacteria","FIG01462077","phosphopantetheinyl transferase"
"799","actinobacteria","FIG00015890","Menaquinone via futalosine step 3"
"800","actinobacteria","FIG01043337","FIG01121307: hypothetical protein"
"801","actinobacteria","FIG01123246","Putative membrane protein (Fragment)"
"802","actinobacteria","FIG01122117","FIG01122118: hypothetical protein"
"803","actinobacteria","FIG01122110","FIG01122111: hypothetical protein"
"804","actinobacteria","FIG01777655","FIG00817608: hypothetical protein"
"805","actinobacteria","FIG01103409","sugar ABC transporter sugar-binding protein"
"806","actinobacteria","FIG00539310","POSSIBLE LINOLEOYL-CoA DESATURASE (DELTA(6)-DESATURASE)"
"807","actinobacteria","FIG00002020","Alpha-galactosidase (EC 3.2.1.22)"
"808","actinobacteria","FIG00018909","TldD family protein, Actinobacterial subgroup"
"809","actinobacteria","FIG01530742","beta-Ig-H3/fasciclin"
"810","actinobacteria","FIG00049258","5'-methylthioadenosine phosphorylase (EC 2.4.2.28)"
"811","actinobacteria","FIG01711723","prostaglandin-endoperoxide synthase 2"
"812","actinobacteria","FIG00816660","flavin-dependent reductase"
"813","actinobacteria","FIG01625100","NrtR-regulated hypothetical OrfY"
"814","actinobacteria","FIG01379083","3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100) homolog"
"815","actinobacteria","FIG00814533","FIG00814534: hypothetical protein"
"816","actinobacteria","FIG01304356","2-nitropropane dioxygenase (EC 1.13.11.32)"
"817","actinobacteria","FIG01376367","putative neutral zinc metalloprotease"
"818","actinobacteria","FIG01126499","FIG01126500: hypothetical protein"
"819","actinobacteria","FIG01122486","FIG01122489: hypothetical protein"
"820","actinobacteria","FIG01122482","FIG01122483: hypothetical protein"
"821","actinobacteria","FIG00945037","putative helicase protein"
"822","actinobacteria","FIG01320443",NA
"823","actinobacteria","FIG01136225","FIG01136226: hypothetical protein"
"824","actinobacteria","FIG00629800","Putative galactosidase"
"825","actinobacteria","FIG00816467","FIG00816468: hypothetical protein"
"826","actinobacteria","FIG01129136","FIG01129137: hypothetical protein"
"827","actinobacteria","FIG00604509","multi-sensor signal transduction histidine kinase"
"828","actinobacteria","FIG00815178","ABC-transporter ATP binding protein"
"829","actinobacteria","FIG01363035","aminotransferase, class III"
"830","actinobacteria","FIG00090410","Putative CDP-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase"
"831","actinobacteria","FIG01688523","putative arabinofuranosidase"
"832","actinobacteria","FIG01308903","amino acid permease family protein"
"833","actinobacteria","FIG01125938","FIG01125939: hypothetical protein"
"834","actinobacteria","FIG01121890","sugar ABC transporter integral membrane subunit"
"835","actinobacteria","FIG01304673",NA
"836","actinobacteria","FIG01121764","probable regulatory protein"
"837","actinobacteria","FIG01316358","putative ABC transporter integral membrane protein"
"838","actinobacteria","FIG01956054",NA
"839","actinobacteria","FIG01547232","putative oligosaccharide deacetylase"
"840","actinobacteria","FIG01319069","FIG00723626: hypothetical protein"
"841","actinobacteria","FIG00001172","Homogentisate 1,2-dioxygenase (EC 1.13.11.5)"
"842","actinobacteria","FIG01243242","possible dioxygenase"
"843","actinobacteria","FIG00006767","Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)"
"844","actinobacteria","FIG00001237","Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)"
"845","actinobacteria","FIG00051266","Predicted N-acetyl-glucosamine kinase 2, ROK family (EC 2.7.1.59)"
"846","actinobacteria","FIG01124044","putative secreted protease"
"847","actinobacteria","FIG00814934","FIG00814935: hypothetical protein"
"848","actinobacteria","FIG00814930","Uncharacterized 17.2 kDa protein in melC2-rnhH intergenic region (ORF3)"
"849","actinobacteria","FIG00052980","ATP-dependent DNA ligase (EC 6.5.1.1)"
"850","actinobacteria","FIG00059898","Assimilatory nitrate reductase large subunit (EC:1.7.99.4)"
"851","actinobacteria","FIG00986061","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61) / FAD-dependent cmnm(5)s(2)U34 oxidoreductase"
"852","actinobacteria","FIG01127565","FIG01127566: hypothetical protein"
"853","actinobacteria","FIG01122315","FIG01122316: hypothetical protein"
"854","actinobacteria","FIG00001036","Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily"
"855","actinobacteria","FIG00133490","Phenylacetate-coenzyme A ligase (EC 6.2.1.30) PaaF"
"856","actinobacteria","FIG00000927","Methylmalonyl-CoA mutase (EC 5.4.99.2)"
"857","actinobacteria","FIG01120817",NA
"858","actinobacteria","FIG01338948","amidohydrolase"
"859","actinobacteria","FIG01304852","Carbon monoxide dehydrogenase form I, large chain (EC 1.2.99.2)"
"860","actinobacteria","FIG00816791","FIG00816794: hypothetical protein"
"861","actinobacteria","FIG00723761","FIG00723763: hypothetical protein"
"862","actinobacteria","FIG00952839","RNA polymerase sigma-70 factor, ECF subfamily"
"863","actinobacteria","FIG00822363","FIG00822364: hypothetical protein"
"864","actinobacteria","FIG01641969","protein of unknown function DUF820"
"865","actinobacteria","FIG00815297","FIG00815299: hypothetical protein"
"866","actinobacteria","FIG00024044","Putrescine transport system permease protein PotH (TC 3.A.1.11.2)"
"867","actinobacteria","FIG01800879","Metallopeptidase, zinc binding"
"868","actinobacteria","FIG00009017","Isochorismatase (EC 3.3.2.1)"
"869","actinobacteria","FIG00613137","Pectate lyase L precursor (EC 4.2.2.2)"
"870","actinobacteria","FIG00002100","Hypothetical protein PA2244 (similar to DNA topoisomerase IB, but possibly involved in glycosyl-transfer)"
"871","actinobacteria","FIG00018866","COG1565: Uncharacterized conserved protein"
"872","actinobacteria","FIG00001482","Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)"
"873","actinobacteria","FIG01955836","Serine-protein kinase RsbW (EC 2.7.11.1)"
"874","actinobacteria","FIG00044377","Lactyl (2) diphospho-(5')guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase"
"875","actinobacteria","FIG00018039","Menaquinone via futalosine step 1"
"876","actinobacteria","FIG00914532","ComEC/Rec2-related protein"
"877","actinobacteria","FIG00135546","Predicted rhamnogalacturonan lyase in rhamnose utilization cluster"
"878","actinobacteria","FIG00815781","FIG00815783: hypothetical protein"
"879","actinobacteria","FIG00814786","Esterase/lipase/thioesterase family active site"
"880","actinobacteria","FIG00537781","Protein containing domains DUF404, DUF407"
"881","actinobacteria","FIG01327001","putative cyclase SCIF3.09c"
"882","actinobacteria","FIG00133228","Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)"
"883","actinobacteria","FIG01123331","multi-component regulatory system-2"
"884","actinobacteria","FIG00816255","FIG00816256: hypothetical protein"
"885","actinobacteria","FIG00002801","L-fuconolactone hydrolase"
"886","actinobacteria","FIG00003174","Alpha-xylosidase (EC 3.2.1.-)"
"887","actinobacteria","FIG00815231","Protein of unknown function DUF661"
"888","actinobacteria","FIG00997747","ABC-type nitrate/sulfonate/bicarbonate transport systems periplasmic components-like protein"
"889","actinobacteria","FIG00821505","FIG021250: possible hydrolase"
"890","actinobacteria","FIG00864860","dolichol-P-glucose synthetase homolog"
"891","actinobacteria","FIG01337117","Pyridoxine 5'-phosphate oxidase, Rv1155"
"892","actinobacteria","FIG00815574","FIG00815578: hypothetical protein"
"893","actinobacteria","FIG00053944","putative Adenosine kinase (EC 2.7.1.20)"
"894","actinobacteria","FIG01194366","ABC transporter sugar-binding protein"
"895","actinobacteria","FIG00004885","Chitodextrinase precursor (EC 3.2.1.14)"
"896","actinobacteria","FIG00816597","FIG00816598: hypothetical protein"
"897","actinobacteria","FIG00538044","Putative translation initiation inhibitor, yjgF family"
"898","actinobacteria","FIG01566909","RNA polymerase ECF sigma factor"
"899","actinobacteria","FIG00814359","FIG00814361: hypothetical protein"
"900","actinobacteria","FIG00814353","FIG00814355: hypothetical protein"
"901","actinobacteria","FIG00017518","Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55)"
"902","actinobacteria","FIG01309879","Uncharacterized protein, similar to the N-terminal domain of Lon protease"
"903","actinobacteria","FIG01366019","Amine oxidase [flavin-containing] (EC 1.4.3.4)"
"904","actinobacteria","FIG01124256","FIG01124257: hypothetical protein"
"905","actinobacteria","FIG01457918","Protein MbtH"
"906","actinobacteria","FIG00817091","FIG00817092: hypothetical protein"
"907","actinobacteria","FIG01379055","containing ATPase domain"
"908","actinobacteria","FIG00145504","Proteasome subunit alpha (EC 3.4.25.1), bacterial"
"909","actinobacteria","FIG00817545","Two-component regulator"
"910","actinobacteria","FIG00817540","FIG00817543: hypothetical protein"
"911","actinobacteria","FIG00817548","Lantibiotic dehydratase domain protein"
"912","actinobacteria","FIG00146363","COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster"
"913","actinobacteria","FIG01125391","FIG01125392: hypothetical protein"
"914","actinobacteria","FIG00073737","7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1 / 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2"
"915","actinobacteria","FIG01133188","FIG01133189: hypothetical protein"
"916","actinobacteria","FIG00007212","GDP-mannose 6-dehydrogenase (EC 1.1.1.132)"
"917","actinobacteria","FIG00815701","FIG00815702: hypothetical protein"
"918","actinobacteria","FIG00000334","S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)"
"919","actinobacteria","FIG00004109","L-arabinose transport system permease protein (TC 3.A.1.2.2)"
"920","actinobacteria","FIG00882049","metallo-beta-lactamase family protein"
"921","actinobacteria","FIG01328070","PfkB domain protein"
"922","actinobacteria","FIG01377411","putative nucleotide sugar-1-phosphate transferase"
"923","actinobacteria","FIG01131250","FIG00814508: hypothetical protein"
"924","actinobacteria","FIG00008759","Tricarboxylate transport protein TctB"
"925","actinobacteria","FIG00005992","Gamma-glutamyltranspeptidase (EC 2.3.2.2)"
"926","actinobacteria","FIG01518630","ABC-type Mn/Zn transport systems, ATPase component"
"927","actinobacteria","FIG00996037","Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)"
"928","actinobacteria","FIG00049580","2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)"
"929","actinobacteria","FIG00003894","Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)"
"930","actinobacteria","FIG01235371","possible transcriptional regulator"
"931","actinobacteria","FIG01006425","putative short-chain dehydrogenase/oxidoreductase"
"932","actinobacteria","FIG00149286","Polyketide hydroxylase WhiE VIII"
"933","actinobacteria","FIG00659779","sulfotransferase"
"934","actinobacteria","FIG01136428","FIG01136429: hypothetical protein"
"935","actinobacteria","FIG00006594","FIG092679: Fe-S oxidoreductase"
"936","actinobacteria","FIG01129332",NA
"937","actinobacteria","FIG00816511","FIG00816512: hypothetical protein"
"938","actinobacteria","FIG00816512","FIG00816513: hypothetical protein"
"939","actinobacteria","FIG00863306","ABC transporter system integral membrane protein"
"940","actinobacteria","FIG00001646","Transcription regulator [contains diacylglycerol kinase catalytic domain]"
"941","actinobacteria","FIG00001649","N-methylhydantoinase A (EC 3.5.2.14)"
"942","actinobacteria","FIG00814876","FIG00814877: hypothetical protein"
"943","actinobacteria","FIG00814878","FIG00814879: hypothetical protein"
"944","actinobacteria","FIG01859693","cellulose-binding, family II"
"945","actinobacteria","FIG00817011","FIG00817012: hypothetical protein"
"946","actinobacteria","FIG00817648","FIG00817649: hypothetical protein"
"947","actinobacteria","FIG01123413","FIG01123415: hypothetical protein"
"948","actinobacteria","FIG00816494","FIG00816496: hypothetical protein"
"949","actinobacteria","FIG00132557","2-keto-3-deoxy-L-fuconate dehydrogenase"
"950","actinobacteria","FIG00135025","Aldose 1-epimerase (EC 5.1.3.3)"
"951","actinobacteria","FIG00815123","FIG00815126: hypothetical protein"
"952","actinobacteria","FIG01124350","FIG01124356: hypothetical protein"
"953","actinobacteria","FIG01512525","oxidoreductase family protein"
"954","actinobacteria","FIG01127191","FIG01127192: hypothetical protein"
"955","actinobacteria","FIG01125900","FIG01125902: hypothetical protein"
"956","actinobacteria","FIG01121733","FIG01121735: hypothetical protein"
"957","actinobacteria","FIG01125129","FIG01125130: hypothetical protein"
"958","actinobacteria","FIG00002556","RsbS, negative regulator of sigma-B"
"959","actinobacteria","FIG01043469","response regulator receiver"
"960","actinobacteria","FIG01133554","FIG01133556: hypothetical protein"
"961","actinobacteria","FIG01398646","FIG00359065: hypothetical protein"
"962","actinobacteria","FIG00787861","COG1609: Transcriptional regulators"
"963","actinobacteria","FIG00492191","similar to glycosyltransferase"
"964","actinobacteria","FIG00816136","FIG00816137: hypothetical protein"
"965","actinobacteria","FIG00817428","FIG00817429: hypothetical protein"
"966","actinobacteria","FIG00464840","Acyl protein synthase/acyl-CoA reductase RfbN"
"967","actinobacteria","FIG00814495","FIG00814496: hypothetical protein"
"968","actinobacteria","FIG00814946","FIG00814947: hypothetical protein"
"969","actinobacteria","FIG00135273","Zeaxanthin glucosyl transferase"
"970","actinobacteria","FIG00034973","2-dehydropantoate 2-reductase (EC 1.1.1.169)"
"971","actinobacteria","FIG01533158","FIG01133315: hypothetical protein"
"972","actinobacteria","FIG01357050","diacylglycerol kinase, catalytic region"
"973","actinobacteria","FIG01120829","FIG01120831: hypothetical protein"
"974","actinobacteria","FIG01366678","Protein involved in biosynthesis of mitomycin antibiotics/polyketide fumonisin"
"975","actinobacteria","FIG01450935","Uncharacterized protein Rv0093c/MT0102"
"976","actinobacteria","FIG01121964","polar amino acid ABC transporter, inner membrane subunit"
"977","actinobacteria","FIG00814540","FIG00814542: hypothetical protein"
"978","actinobacteria","FIG00815636","FIG00815637: hypothetical protein"
"979","actinobacteria","FIG00830125","putative aminotransferase"
"980","actinobacteria","FIG01124443","FIG01124444: hypothetical protein"
"981","actinobacteria","FIG01127934","putative endo-1,4-beta-glucanase"
"982","actinobacteria","FIG01121198","putative secreted hydrolase"
"983","actinobacteria","FIG00004037","Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)"
"984","actinobacteria","FIG00002137","Phenylacetate-CoA oxygenase, PaaH subunit"
"985","actinobacteria","FIG01135947","FIG01135949: hypothetical protein"
"986","actinobacteria","FIG00470735","Cysteine synthase B (EC 2.5.1.47)"
"987","actinobacteria","FIG00626701","Trans-aconitate 2-methyltransferase (EC 2.1.1.144)"
"988","actinobacteria","FIG00817805","FIG00817807: hypothetical protein"
"989","actinobacteria","FIG00815406","FIG00815408: hypothetical protein"
"990","actinobacteria","FIG01125213","RNA polymerase ECF-subfamily sigma factor"
